docid,author,bibliography,body,title
216,"kantrowitz,a.","naca r974, 1950.","the supersonic axial flow compressor .   an investigation has been made to explore the possibilities of axial-flow compressors operating with supersonic velocities into the blade rows .  preliminary calculations showed that very high pressure ratios across a stage, together with somewhat increased mass flows, were apparently possible with compressors which decelerated air through the speed of sound in their blading .  the first phase of this investigation, which has been reported in naca acr l5d20, was the development of efficient supersonic diffusers to decelerate air through the speed of sound . the present report is largely a general discussion of some of the essential aerodynamics of single-stage supersonic axial-flow compressors .  in the supersonic flow about isolated bodies, large energy losses usually occur due to wave systems which extend far from the bodies .  supersonic flow entering a cascade is considered and, in this case, the possibility of entirely eliminating this extended wave system is demonstrated,. thus, no reason for supersonic compressors to be necessarily inefficient is apparent .  the conditions that occur as the flow through the compressor is being started are discussed and a hypothesis as to the type of transonic flow which will be encountered is proposed .   as an approach to the study of supersonic compressors, three possible velocity diagrams are discussed briefly .  because of the encouraging results of this study, an experimental single-stage supersonic compressor has been constructed and tested in freon-12 .  in this compressor, air decelerates through the speed of sound in the rotor blading and enters the stators at subsonic speeds .  a pressure ratio of about 1.8 at an efficiency of about 80 percent has been obtained .",the supersonic axial flow compressor .
225,"jorgensen,l.h.","naca tn4045,1957","elliptic cones alone and with wings at supersonic speeds .   to help fill the gap in the knowledge of aerodynamics of shapes intermediate between bodies of revolution and flat triangular wings, force and moment characteristics for elliptic cones have been experimentally determined for mach numbers of 1.97 and sectional axis ratios from 1 through 6 and with lengths and base areas equal to circular cones of fineness ratios 3.67 and 5 have been studied for angles of bank of 0 and 90 . elliptic and circular cones in combination with triangular wings of aspect ratios 1 and 1.5 also have been considered .  the angle-of-attack range was from 0 to about 16, and the reynolds number was 8x10, based on model length .  in addition to the forces and moments at angle of attack, pressure distributions for elliptic cones at zero angle of attack have been determined .   the results of this investigation indicate that there are distinct aerodynamic advantages to the use of elliptic cones .  with their major cross-sectional axes horizontal, they develop greater lift and have higher lift-drag ratios than circular cones of the same fineness ratio and volume . in combination with triangular wings of low aspect ratio, they also develop higher lift-drag ratios than circular cones with the same wings .  for winged elliptic cones, this increase in lift-drag ratio results both from lower zero-lift drag and drag due to lift .  visual-flow studies indicate that, because of better streamlining in the crossflow plane, vortex flow is inhibited more for an elliptic cone with major axis in the plane of the wing than for a circular cone with the same wing .  as a result, vortex drag resulting from lift is reduced . shifts in center of pressure with changes in angle of attack and mach number are small and about the same as for circular cones .   comparisons of theoretical and experimental force and moment characteristics for elliptic cones indicate that simple linearized (flat plate) wing theory is generally adequate even for relatively thick cones . zero-lift pressure distributions and drag can be computed using van dyke's second-order slender-body theory . for winged circular cones, a modification of the slender-body theory of naca rep. 962 results in good agreement of theory with experiment .",elliptic cones alone and with wings at supersonic speeds .
234,"syvertson,c.a. and denis,d.h.",naca tn.3527.,"a second order shock-expansion method applicable to bodies of revolution near zero lift .   a second-order shock-expansion method applicable to bodies of revolution near zero lift is developed . expressions defining the pressures on noninclined bodies are derived by the use of characteristics theory in combination with properties of the flow predicted by the generalized shock-expansion method .  this result is extended to inclined bodies to obtain expressions for the normal-force and pitching-moment derivatives at zero angle of attack .  the method is intended for application under conditions between the ranges of applicability of the second-order potential theory and the generalized shock-expansion mehtod - namely, when the ratio of free-stream mach number to nose fineness ratio is in the neighborhood of 1 .   for noninclined bodies, the pressure distributions predicted by the second-order shock-expansion method are compared with existing experimental results and with predictions of other theories .  for inclined bodies, the normal-force derivatives and locations of the center of pressure at zero angle of attack predicted by the method are compared with experimental results for mach numbers from 3.00 to 6.28 . fineness ratio 7, 5, and 3 cones and tangent ogives were tested alone and with cylindrical afterbodies up to 10 diameters long .  in general, the predictions of the present method are found to be in good agreement with the experimental results .  for non-inclined bodies, pressure distributions predicted with the method are in good agreement with existing experimental results and with distributions obtained with the method of characteristics . for inclined bodies, the normal-force derivatives per radian (for normal-force coefficients referenced to body base area) are predicted within 0.2 and the locations of the center of pressure are predicted within 0.2 body diameters .  on the basis of these results, the second-order shock-expansion method appears applicable for values of the ratio of free-stream mach number to nose fineness ratio from 0.4 to 2 .",a second order shock-expansion method applicable to bodies of revolution near zero lift .
238,"ower,e. and johansen,f.c.","arc r + m 1437, 1931.","on a determination of the pitot-static tube factor at low reynolds numbers, with special reference to the measurement of low air speeds .   reasons for enquiry--to provide a standard instrument for the calibration of low speed anemometers .","on a determination of the pitot-static tube factor at low reynolds numbers, with special reference to the measurement of low air speeds ."
239,"kettle,d.j.","rae tn.aero.2247, 1953.","design and calibration at low speeds of a static tube and a pitot-static tube with semi-ellipsoidal nose shapes .   a new static tube and a new pitot-static tube have been designed and calibrated in the no.1 and the no.2 11 ft x 8 ft wind tunnels of the r.a.e., using a long static tube, the error of which is believed to be very small, as a standard for comparison .   the results show that the static pressure measured by these tubes is in error due to the supporting strut and to the nose shape of the tube by an amount which may be calculated for positions of the static slot, or holes, greater than 10 tube diameters ahead of the strut .  the readings show no measurable scale effect in the speed range 100-230 ft sec .  the static tube is insensitive to yaw in the range 1 with a square-edged slot and is even less sensitive to yaw when the slot edges are rounded .  the turbulence of the tunnel has an effect on the static pressure reading .",design and calibration at low speeds of a static tube and a pitot-static tube with semi-ellipsoidal nose shapes .
241,"nash,j.f.","arc 22245, 1960.","laminar mixing of a non-uniform stream with a fluid at rest .   a theoretical analysis is made of the constant pressure laminar mixing process between a stream having an initial boundary layer velocity profile, and a fluid at rest .   the present theory follows the methods of w. tollmien and s. i. pai with certain modifications . the results apply to incompressible flow, but can be extended to the compressible case without difficulty .",laminar mixing of a non-uniform stream with a fluid at rest .
250,"eminton,e.","arc cp.525, 1960.",pressure distributions at zero lift for delta wings with rhombic cross sections .   the linearised theory of thin wings is used to calculate pressure distributions over delta wings with rhombic cross sections .  a deuce programme has been written for the calculation and some of the results are compared with those of slender thin wing theory .,pressure distributions at zero lift for delta wings with rhombic cross sections .
252,"f. o/hara and l. c. squire, r.a.e.","and a. b. haines, a.r.a.","an investigation of interference effects on similar models of different size in various transonic tunnels in the u.k. . details are given of a programme of tests being made on similar swept-wing models in transonic tunnels of different types .  force measurement results at subsonic speeds in the r.a.e. 3 ft. by 3 ft. slotted tunnel show only small interference effects for models of moderate blockage at low incidence., at higher incidences, the interference effect on lift becomes appreciably greater than estimated by theory, and significant pitching moment differences occur, apparently due to wall interference on the wing flow field .  comparable but smaller effects are evident in the results from the a.r.a. 9 ft. by 8 ft. perforated tunnel .  at speeds just above m = 1, the force fluctuates as speed is increased, because of wave reflection interference .  the magnitude of the fluctuations diminishes as speed is further increased and this reduction is more marked in the perforated tunnel .  pressure measurements along the top of the body at zero incidence show delay in shock movements at high subsonic speeds indicating a blockage effect on speed., the effect is larger in the perforated tunnel though smaller than predicted by theory .  above m = 1, both expansion and shock waves are strongly reflected in the slotted tunnel but considerable alleviation, particularly of shock waves, is achieved in the perforated tunnel, for which an analysis of the effects is given, showing for example, the effect of the open-area distribution of the walls .",an investigation of interference effects on similar models of different size in various transonic tunnels in the u.k. .
256,"stanbrook,a.","arc cp.555, 1960.",an experimental study of the glancing interaction between a shock wave and a turbulent boundary layer .   an experimental study has been made at mach numbers from 1.6 to 2.0 of the interaction between the turbulent boundary layer on a side wall of a wind tunnel and the shock wave produced by a plate mounted on the wall .  under these conditions the shock wave boundary layer interaction was three dimensional at least over the region investigated (up to 10 boundary layer thicknesses from the plate) .  it was found that the boundary layer was separated by a shock wave of strength type occur on the sides of fuselages at the wing fuselage junction and may therefore be important with regard to the design of waisted shapes .,an experimental study of the glancing interaction between a shock wave and a turbulent boundary layer .
259,"revell, j. d.","j. ae. scs.1960, 730.","second order theory for unsteady supersonic flow past slender pointed bodies of revolution .   the thermodynamic properties (z = pv rt, e rt, h rt, s r, and pressure) are given for equilibrium mixtures of dissociated and ionized molecules and atoms of the elements nitrogen and oxygen having the low temperature composition of .78847 n and .21153 o . the tabulated properties of this mixture (a close approximation to the properties of air) are given at close intervals from 2000 to and 10 times the normal density .  the results are based on chemical equilibria between the species o, o, n, n, no, no, no, no, o, o, o, o, n, n, n and electrons .  the method of presentation permits later corrections for the effect of argon and co and the contribution of intermolecular forces .  the calculations are based on 9.758 e.v. as the dissociation energy of molecular nitrogen and 1.45 e.v. as the electron affinity of atomic oxygen .",second order theory for unsteady supersonic flow past slender pointed bodies of revolution .
267,"gupta,s.","app. sc. res. 9, 1959.","steady and transient free convection of an electrically conducting fluid from a vertical plate in the presence of a magnetic field .   an analysis is made for the laminar free convection and heat transfer of a viscous electrically conducting fluid from a hot vertical plate in the case when the induced field is negligible compared to the imposed magnetic field . it is found that similar solutions for velocity and temperature exist when the imposed magnetic field (acting perpendicular to the plate) varies inversely as the fourth root of the distance from the lowest end of the plate .  explicit expressions for velocity, temperature, boundary layer thickness and nusselt number are obtained and the effect of a magnetic field on them is studied . it is found that the effect of the magnetic field is to decrease the rate of heat transfer from the wall .  in the second part, the method of characteristics is employed to obtain solutions of the time-dependent hydromagnetic free convection equations (hyperbolic) of momentum and energy put into integral form .  the results yield the time required for the steady flow to be established, and the effect of the magnetic field on this time is studied .",steady and transient free convection of an electrically conducting fluid from a vertical plate in the presence of a magnetic field .
268,"cramer,k.r.",5th nat. heat transfer con. 1962.,"several magnetohydrodynamic free-convection solutions . the influence of transverse magnetic fields on the laminar free-convection flow of liquid metals over a vertical flat plate and between vertical parallel plates is examined for specific wall temperature variations and prandtl numbers .  the extent of influence on the flow and temperature fields is determined by the magnitude of a nondimensional influence parameter which is the ratio of the magnetic force to the buoyant force .  in general, increasing the magnetic field strength decreases the magnitude of the velocity, wall shear, and surfaces heat transfer and increases the temperature throughout the fluid . analytical results demonstrate that magnetic fields of practical strengths exert considerable influence on liquid metal free-convection flow fields .",several magnetohydrodynamic free-convection solutions .
272,"rodden, w. +. and revell, j.d.","j. ae. scs. 1960, 451.","oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory .   the shock tube is shown to be a feasible research tool for conducting boundary-layer transition experiments .  the use of the shock tube permits the study of transition with highly cooled boundary layers, as may be encountered on hypersonic vehicles .   boundary-layer transition investigations have been made on optically polished pyrex hemisphere-cylinder and ellipse-cylinder models with stagnation-to-wall enthalpy ratios between 4.5 and roughness estimated to be less than 1 microinch (rms) . transition was detected by measurements of the heat-transfer rates on the model surface .   the shock tube experiments indicated that a characteristic feature of transition of a highly cooled boundary layer on a hemisphere was the simultaneous occurrence of transition over the entire supersonic portion of the hemisphere .  this implies that transition first occurred in the sonic region .  the transition reynolds number (based on local fluid properties at the outer edge of the boundary layer and the momentum thickness) in the sonic region increased from about 225 to 325 as the stagnation- to-wall enthalpy ratio increased from about 9.5 to 29.5 .  transition occurred along the cylindrical portion of the hemisphere-cylinder model at a nearly constant momentum thickness reynolds number, increasing from about 400 to 625 as the stagnation- to-wall enthalpy ratio increased from about 9.5 to 29.5 .   the highly cooled boundary layers obtained on the cylindrical portion of the shock tube hemisphere-cylinder model provided an extension of nasa transition results obtained on a cooled hemisphere-cone-cylinder model in a wind tunnel .  the transition reynolds numbers obtained from these shock tube data were of the same order of magnitude as the minimum transition reynolds numbers obtained in the wind-tunnel experiments .  the results indicate that, for practical purposes, boundary-layer cooling is not a critical transition parameter for blunt bodies with a highly cooled boundary layer resulting from a stagnation- to-wall enthalpy ratio of about 3 to 30 .  that is, the transition reynolds number did not vary significantly with boundary- layer cooling in this cooling range, but transition always occurred at a low reynolds number (between about 350,000 and 750,000 based on local external properties and a distance along the body surface from the stagnation point) .   the boundary-layer history (body shape history) appeared to be an important parameter affecting the magnitude of the reynolds number for transition and the amount of increase in the transition reynolds number with increased boundary-layer cooling .  that is, transition occurred at a lower reynolds number on the ellipse-cylinder configuration than on the hemisphere-cylinder .  also, the increase in transition reynolds number with an increase in boundary-layer cooling was even less significant for the ellipse-cylinder than the hemisphere-cylinder .",oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory .
273,"capiaux,r. and karchmar,l.","paper 61-201-1904, nat. ias-ars joint meeting, 1961.","flow past slender blunt bodies - a review and extension .   a numerical solution of the inviscid flow field about slender blunt bodies of revolution has been developed through a combination of two methods ..  the van dyke solution in the subsonic flow region at the nose, and the method of characteristics in the supersonic region . the results are compared with second-order blast wave theory and with experimental data,. and the respective merits and deficiencies of the two theoretical methods are pointed out .  the results of the numerical solution are further used in a discussion of the entropy layer, to propose a possible criterion of entropy layer thickness .",flow past slender blunt bodies - a review and extension .
283,"kemp,n.h., rose,p.h. and detra,r.w.","j.ae.sc. 26, 1959.","laminar heat transfer around blunt bodies in dissociated air .   a method of predicting laminar heat-transfer rates to blunt, highly cooled bodies with constant wall temperature in dissociated air flow is developed .  attention is restricted to the case of axisymmetric bodies at zero incidence, although two-dimensional bodies could be treated the same way .  the method is based on the use of the /local similarity/ concept and an extension of the ideas used by fay and riddell .  a simple formula is given for predicting the ratio of local heat-transfer rate to stagnation-point rate .  it depends on wall conditions and pressure distribution, but not on the thermodynamic or transport properties of the hot external flow, except at the stagnation point .   experimental heat-transfer rates obtained with correct stagnation-point simulation and high wall cooling in shock tubes are also presented and compared with the theoretical predictions . on the whole, the agreement is good, although in regions of rapidly varying pressure there is evidence that the local similarity assumption breaks down, and the theory underestimates the actual heat-transfer rate by up to 25 per cent .",laminar heat transfer around blunt bodies in dissociated air .
285,"hedgepeth,j.m.","j.ae.scs. 23, 1956.","on the flutter of panels at high mach numbers . there have recently arisen some questions as to the possibility of panel flutter at high dynamic pressures and mach numbers .  in addition, some doubts have been raised about the convergence of the galerkin method when applied to such problems .  this note is intended to shed light on these matters .",on the flutter of panels at high mach numbers .
293,"wisniewski,r.j. and jack,j.r.","j. ae. scs. 28, 1961.","recent studies on the effect of cooling on boundary layer transition at mach 4. the advent of high-speed flight has necessitated the study of boundary-layer transition on highly cooled bodies . investigations such as those of references 1-4 have concentrated on this problem and have indicated, contrary to the trends predicted by small-disturbance theory, that premature transition can be found with cooling .  this phenomenon, commonly called detail in references 2-5 .   the purpose of this note is to report some recent transition data obtained on a cooled cone in a mach 4 wind tunnel .  the model, a sharp-tip cone (included angle 13.5), was cooled by liquid nitrogen to a temperature of -340 f .  the cooling method and the data analysis are similar to that described in reference 3 .",recent studies on the effect of cooling on boundary layer transition at mach 4.
294,"cresci,r.j. and mackenzie,d.a.","j. ae. scs. 27, 1960.","an investigation of laminar transitional and turbulent heat transfer on blunt-nosed bodies in hypersonic flow .   laminar, transitional, and turbulent heating rates have been measured by means of the shrouded model technique .  the reynolds number was varied over a ninefold range,. the enthalpy ratio (stagnation to wall) varied from 2.3 to approximately 1.5 . two different pressure distributions were imposed on the model which consisted of a spherically capped cone .   the experimental data are compared to the laminar hypersonic boundary-layer theory and shown to be in good agreement on the conical portion of the model .  on the spherical portion the data are approximately 20 per cent higher than the theoretical prediction .  some of this discrepancy can be attributed to radiation to the nose of the model .   the fully developed turbulent heat-transfer data are compared to two theories ..  (1) a relatively simple turbulent theory which is based on recent theoretical work and which takes into account the upstream history of the boundary layer, and (2) the flat-plate reference-enthalpy theory, which depends on only /local/ conditions .  although both theories are in reasonable agreement with the data, the latter method is simpler and somewhat more accurate .   for transitional flow the theory mentioned first can be readily modified in order to permit reasonable estimates of transitional heat transfer to be obtained .  on this basis it is possible to estimate laminar, transitional, and fully developed turbulent heat transfer under hypersonic blunt-body conditions .   the behavior of transition reynolds number based on momentum thickness is also discussed and shown to be in quantitative agreement with recent shock-tube measurements .",an investigation of laminar transitional and turbulent heat transfer on blunt-nosed bodies in hypersonic flow .
302,"hansen, c. f.","nasa tr r 50, 1959 .","approximations for the thermodynamic and transport properties of high temperature air . the thermodynamic and transport properties of high-temperature air are found in closed form starting from approximate partition functions for the major components in air and neglecting all minor components . the compressibility, enthalpy, entropy, the specific heats, the speed of sound, the coefficients of viscosity and of thermal conductivity, and the prandtl numbers for air are tabulated from 500degree to 15,000degree  k over a range of pressure from 0.0001 to 100 atmospheres . the energy of air and the mol fractions of the major components of air can be found  from the tabulated values for compressibility and enthalpy . it is predicted that the prandtl number for fully ionized air, which is in complete equilibrium, will become small compared to unity, the order of transparent to heat flux .",approximations for the thermodynamic and transport properties of high temperature air .
304,"oguchi,h.","univ. tokyo aero.res r330, 1958.","first-order approach to a strong interaction problem in hypersonic flow over an insulated flat plate .   the present paper concerns with the strong interaction phenomenon over an insulated semi-infinite flat plate with a sharp leading edge .  in particular the main interest is in the consistent treatment in which the boundary-layer solution may be joined continuously with the inviscid solution regarding flow variables including pressure, normal velocity, temperature (or streamwise velocity) and density .   it is shown that the behavior of the inviscid solution may be consistent with that of the boundary-layer solution to at least first-order approximation that is correct to the order of, where m is the mach number of undisturbed flow, r the reynolds number based on the distance from leading edge and the ratio of specific heats .  then the first-order boundary-layer problem is formulated under such an external circumstance and an attempt is made for arriving at the solution .   actual calculations are carried out for both cases of air and helium .  from the solution it is found that the region in which the viscous effect plays a significant role is ranged over from 0 to a certain finite value of n, say n, in terms of the similarity coordinate n in the corresponding incompressible boundary layer . the numerical results moreover indicate that the induced pressure is considerably smaller than the estimate of lees (7) obtained by his approximate method in which the effect of the first-order induced pressure on the boundary layer is ignored and no survey of the first-order boundary-layer equation is made . the present results are also found to be in excellent agreement with experimental data recently obtained in helium flow by erickson (15) .",first-order approach to a strong interaction problem in hypersonic flow over an insulated flat plate .
305,"li,t.y. and gross,j.f.","heat transfer and fluid mech. inst. 1961, 146.","hypersonic strong viscous interaction on a flat plate with surface mass transfer . the present report gives an account of the development of an approximate theory to the problem of hypersonic strong viscous interaction on a flat plate with mass-transfer at the plate surface .  the disturbance flow region is divided into inviscid and viscous flow regions .  the hypersonic small perturbation theory is applied to the solution of the inviscid flow region .  the method of similar solutions of compressible laminar boundary layer equations is applied to the treatment of the viscous flow region .  the law of surface mass-transfer for similar solutions is derived . the pressure and the normal velocity are matched between the inviscid and viscous flow solutions .  formulas for induced surface pressure, boundary layer thickness, skin friction coefficient, and heat transfer coefficient are obtained .  numerical results and their significance are discussed . future improvements are indicated .",hypersonic strong viscous interaction on a flat plate with surface mass transfer .
306,"maslen,s.h.","naca tn.2818, 1952.","second approximation to laminar compressible boundary layer on flat plate in slip flow .   the first-order solution for the laminar compressible boundary-layer flow over a flat plate at constant wall temperature is given .  the effect of slip at the wall as well as the interaction between the boundary-layer flow and the outer stream flow are taken into consideration .  the solution is obtained explicitly in terms of the known zero order, or continuum, solution .  no assumptions regarding the prandtl number or viscosity-temperature law need be made .  it is found that the first-order solution gives a decrease in heat transfer and, for supersonic flow, an increase in skin friction . for subsonic flow there is no first-order shear effect .  the change in heat transfer is due to slip and the change in friction is due to the interaction of the zero- and first-order velocities at the outer edge of the boundary layer .",second approximation to laminar compressible boundary layer on flat plate in slip flow .
307,"nagakura,t. and naruse,h.","j. phys. soc. japan, 12, 1957, 1298.","an approximate solution of hypersonic laminar boundary layer equations and its application .   approximate formulae of the displacement thickness and the skin friction of the hypersonic laminar boundary layer are derived by use of von karman's integral method, assuming the heat-insulated wall, the prandtl number of unity and chapman and rubesin's formula for the variation of viscosity with temperature . the results obtained are compared with some exact solutions . because of the good agreement, it seems that these formulae are very useful .   these formulae, together with the tangent-wedge-approximation, are applied to the viscous flow over slender bodies with a sufficiently sharp leading edge .  as an example, the pressure distribution over a flat plate is calculated numerically over the entire region of the surface . comparison with other author's theoretical results as well as experimental values is made .",an approximate solution of hypersonic laminar boundary layer equations and its application .
308,"yasuhara,m.","j. phys. soc. japan, 12, 1957, 177.","on the hypersonic viscous flow past a flat plate with suction or injection .   the hypersonic viscous flow past a flat plate with suction or injection is dealt with by karman-pohlhausen's method in special cases when suction or injection velocity proportional to, especially for the region of strong interaction between the shock wave and the boundary layer, were p is the pressure on the plate and x is the distance measured along the plate from its leading edge .   several numerical examples are given, which shows similar effects of injection to those in the case of incompressible flow that the injection makes all the height of the shock wave, the thickness of the boundary layer and the pressure on the plate larger than those in the case of no injection .  on the contrary, in the case of suction no remarkable change both in the height of the shock wave and the pressure on the plate can be seen and only the velocity profile in the boundary layer is affected by the suction .",on the hypersonic viscous flow past a flat plate with suction or injection .
309,"stewartson,k.","j. ae. scs. 22, 1955, 303.","on the motion of a flat plate at high speed in a viscous compressible fluid, ii, steady motion .   the theory of the steady flow of a viscous compressible fluid past a flat plate at high mach number due to lees and probstein is extended by a more complete discussion of the flow in the inviscid layer between the shock wave and the boundary layer . it is shown that similar solutions exist in this layer, analogously to those found by li and nagamatsu in the boundary layer, and that the two may be joined to give, allowing one minor assumption, a full account of the flow .  it is shown that the boundary-layer equations may be reduced to those for an incompressible fluid and that the von karman-pohlhausen method describes the flow in it with good accuracy .  the tangent wedge approximation for the pressure on the plate, used by lees and his collaborators, is found to be in deficit by 10 per cent for air .  finally, it is shown that the theory for weak interaction cannot be extended further without a complete knowledge of the flow .","on the motion of a flat plate at high speed in a viscous compressible fluid, ii, steady motion ."
310,"lees, l. and probstein, r. f.","princeton univ. aero eng. r195, 1952 (abstract by e.m.keen)","hypersonic viscous flow over a flat plate .      in dealing with the steady laminar viscous flow over a semi-infinite flat plate some of the following topics are discussed . the streamline in the boundary layer over a leading edge of given thickness . the rate of growth of the boundary layer in the main stream, and causes of pressure variations . asymptotic solutions for thn downstream flow region, including the joining interaction of shock waves at the leading edge . pressure variations in the interanl viscous flow layer and in external inviscid flow considered as prandtl meyer flow . in cases of streamline deflection, the free stream mach number, zero pressure gradient, and surface pressure distribution . asymptotic solutions for cases of fluid injection of a cool gas . prandtl heat transfer . the joining interaction between the external inviscid flow and the internal viscous flow layer . steady laminar hpyersonic viscous flow over a flat wedge and a cone .",hypersonic viscous flow over a flat plate .
311,"pearcey, h. h.","n.p.l. aero. 358, fm 2763. dec. 1958 .","a method for predicting the onset of buffeting and other separation effects from wind tunnel tests on rigid models . the method is based on the observation of the divergence that occurs in the variation of mean static pressure at the trailing edge of an aircraft wing at the critical stage in the development of boundary-layer separation when its influence first spreads to the trailing edge and thereby to the overall flow . the significance of the trailing-edge pressure variations and their connection with the effects that separation has on the mean and unsteady  loads is discussed for various types of separation . good prediction can be obtained from wind-tunnel tests, or warning provided in flight, for low-speed separations and for shock-induced ones up to the stage at which the shock wave reaches the trailing edge . related divergences in wake width, lift coefficient, or shock position can also be used . pressure measurements at other isolated points often indicate the type of separation . certain special considerations apply for swept wings . the various flow changes that are considered are illustrated by schlieren photographs and described in an appendix .",a method for predicting the onset of buffeting and other separation effects from wind tunnel tests on rigid models .
316,"pearcey, h. h.","r + m 3109, arc 17901, september 1955 .","the occurrence and development of boundary layer separations at high incidences and high speeds . this note describes the manner in which the onset of the effects of boundary-layer separation varies with mach number for two-dimensional aerofoils, and discusses the influence of section shape as far as it is known . a brief qualitative description is given of the mechanism underlying the development of the separated flow and its effects, followed by a discussion of some of the ways in which this is likely to differ for swept-back wings at high speeds . finally, the need is emphasized for continued work in a broadening field .",the occurrence and development of boundary layer separations at high incidences and high speeds .
324,"rott, n. and lenard, m.","j. aero. sc. v. 26, august, 1959 .","vorticity effect on the stagnation point flow of a viscous incompressible fluid . the effect of vorticity on axisymmetric stagnation point boundary layer calculations is investigated by calculating a perturbation to the stagnation point flow . the shear caused by the vorticity effect is found to be surprisingly large,.the slope of the shear curve /at zero vorticity/ as calculated by kemp agrees perfectly with the value deduced  in this note .",vorticity effect on the stagnation point flow of a viscous incompressible fluid .
332,"cheng,h.k.","j. ae. scs. 26, 1959, 575.","similitude of hypersonic real-gas flows over slender bodies with blunted noses .   on the basis of the hypersonic small-perturbation theory, the laws of similitude for hypersonic inviscid flow fields over thin or slender bodies are examined, and the restrictions to ideal gases with constant specific heats and to bodies with pointed noses are removed .  only steady plane or axisymmetric flows are considered .   inspection of the governing system of equations shows that a similitude law exists for flow fields, under local thermal equilibrium, having the same free-stream atmosphere .  for flows of ideal gas with constant specific heats, the requirement of the same free-stream atmosphere--i.e., the same composition, pressure, and density--can be replaced by the requirement of the same ratio of specific heats .   for flows over blunted wedges or cones, special laws of similitude can be obtained .   application of the similarity rules is examined for the case of hypersonic flows of an ideal gas with over flat plates with blunt leading edges, and for the case of equilibrium air flows over wedges .  the possibility of simulating nonequilibrium flows over slender or thin bodies is also pointed out .",similitude of hypersonic real-gas flows over slender bodies with blunted noses .
333,robert j. whalen,"principal scientist, flight sciences laboratory, inc., buffalo, n.y.","boundary-layer interaction on a yawed infinite wing in hypersonic flow . the equations are given for the laminar boundary-layer equations on a yawed infinite wing for constant wall temperature, under the combined howorth and mangler transformation .  diagrams show the relatively small influence of yaw, the increase of boundary-layer secondary flow, and the variation of the local heat transfer rate with yaw .",boundary-layer interaction on a yawed infinite wing in hypersonic flow .
338,"leadon,b.m., scott,c.j. and anderson,g.e.","j. ae. scs. 25, 1958.","mass transfer cooling at mach number 4. 8. mass-transfer experiments on a 5 mil wire porous cone of 20 total angle have been conducted at using air and helium injection .  details of the experimental technique are described in references 1 and 2 .  in the laminar boundary layer the recovery factors and heat-transfer coefficients measured with zero injection agreed within per cent with theory . transition reynolds numbers observed on the porous cone with zero injection were half as large as observed on a smooth, impermeable model of identical geometry in the same channel, but injection of large amounts of air or helium did not cause transition to move forward from its zero-injection position on the porous cone .  distributed roughness of this type apparently does not disturb impermeable wall theory, but it masks whatever effective roughness may be caused by discrete pore injection .",mass transfer cooling at mach number 4. 8.
344,"leadon,b.m.","aero/space eng. 18, 1959.","some experimental techniques in mass transfer cooling .   author introduces his survey by a brief review of the history of investigations dealing with boundary layers on impermeable solid surfaces, and notes that no true theory exists for turbulent boundary layers, the success of studies in this area having been due to the introduction of artificial, if ingenious, assumptions which permitted empirical correlations fd data .  the terminology introduced by the author for distinguishing the different situations involving mass transfer from the wall to the stream may give rise to some objections .  for instance, /film cooling/ need not refer only to the injection of a liquid, since applications involving gas film cooling exist .  also, his restriction of the term /transpiration cooling/ to refer to the injection through a porous surface of a gas only of the same composition as the exterior stream does not enjoy universal usage .  the influence of mass transfer on heat transfer through laminar boundary layers and on the transition from laminar to turbulent flow is described, with consideration given to the question of the net effect of the stabilizing influence of surface cooling and the destabilizing influence of injection .   reviewer suggests that author's inaccurate statement to the effect that /thus far the higher energy conditions do not threaten to involve turbulent injection, so turbulent boundary-layer research enjoys a fairly academic serenity broken only by its own frustrations/ be excused on grounds of poetic license, although it ignores the efforts being devoted to the pressing practical problems of erosive burning of solid propellants (possibly the most common example of a complete /aerothermochemical/ problem involving distributed surface heat and mass transfer with chemical reaction in a flow system) and of effusion cooling of rocket nozzles, both of which involve turbulent boundary-layer conditions .  author emphasizes the tedious experimental problems involved in research on boundary layers with blowing, and notes the desirability of velocity distribution measurements, especially in turbulent injection layers .  the observation that no good data on concentration profiles in the case of the diffusion boundary layer have been published may be an overstatement, since author's bibliography overlooks the work of j. berger (/contribution a l'etude de l'injection parietale,/ doctor's thesis, university of paris, memorial des poudres 38 (annex), p. 1,. paris, imprimerie nationale, 1956) .",some experimental techniques in mass transfer cooling .
351,"millsaps, k. and pohlhausen, k.","j. aero. sc. v. 20. march 1953, pp 187-196 .","thermal distributions in jeffrey-hamel flows between nonparallel plane walls . the authors give the exact solution for the thermal distributions for the steady laminar flow of a viscous incompressible fluid between non-parallel plane walls held at a constant temperature . the velocity profiles are determined with the aid of jacobian elliptic functions by using the jeffery-hamel solution of the hydrodynamic problem . it is shown that in this special case the energy equation giving the temperature profiles can be reduced to an ordinary linear differential equation with variable coefficients . after the introduction of dimensionless parameters, numerical solutions are given for diverging and converging channels with total openings of 10degree for the possible combinations of three reynolds numbers and five prandtl numbers .",thermal distributions in jeffrey-hamel flows between nonparallel plane walls .
